N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
5,distance,ball_tree,80,4.0,cityblock,1779.9120537402744
5,uniform,kd_tree,10,2.0,euclidean,2239.024763333332
9,uniform,kd_tree,20,3.0,euclidean,2475.4370201003094
10,uniform,ball_tree,50,3.0,l1,2221.604000694444
5,uniform,brute,100,4.5,euclidean,2239.25912970486
10,distance,ball_tree,100,4.0,euclidean,2269.0962053418443
6,uniform,kd_tree,40,4.5,l1,2016.47660931713
1,uniform,kd_tree,40,1.5,l1,1761.487921093749
8,distance,ball_tree,10,1.5,cityblock,1880.4271715149112
1,distance,brute,10,2.0,l1,1791.0471459201376
6,distance,kd_tree,40,2.5,cityblock,1800.6634907680548
8,distance,ball_tree,80,3.5,l2,2197.93717696994
9,distance,brute,30,2.0,cityblock,1910.0890445415623
7,uniform,ball_tree,60,1.5,euclidean,2322.4500251116087
8,distance,brute,10,4.5,l1,1874.3507312582556
6,uniform,ball_tree,50,1.0,l1,2023.1643656973383
9,uniform,brute,90,2.5,euclidean,2491.2347014660504
9,uniform,ball_tree,20,4.5,l2,2467.44654601659
5,distance,brute,100,3.5,manhattan,1745.6377063296725
1,distance,brute,30,2.0,cityblock,1791.0471459201376
8,uniform,kd_tree,60,3.0,euclidean,2432.0288054578987
1,distance,brute,90,4.0,manhattan,1791.0471459201376
7,distance,kd_tree,60,1.0,l2,2126.244115380411
6,uniform,brute,30,3.5,l2,2270.693337427662
4,distance,ball_tree,80,2.5,euclidean,1986.895965735323
2,distance,kd_tree,60,1.5,cityblock,1686.7215085978833
8,uniform,brute,70,4.5,l2,2431.830853960503
10,distance,kd_tree,30,3.5,manhattan,1956.4339113113824
2,distance,ball_tree,70,3.0,euclidean,1760.7120913859694
5,distance,ball_tree,90,3.5,manhattan,1779.9120537402744
3,uniform,ball_tree,40,1.0,cityblock,1793.3487778067138
10,uniform,kd_tree,60,4.5,cityblock,2225.1774759375
8,uniform,kd_tree,90,1.5,cityblock,2112.4370436197914
2,uniform,brute,60,3.0,l2,1945.263195442708
7,uniform,kd_tree,100,1.5,l2,2350.047341902284
8,uniform,brute,10,1.0,euclidean,2431.830853960503
9,uniform,ball_tree,60,2.0,euclidean,2485.624877951389
1,uniform,brute,60,4.5,cityblock,1791.0471459201376
7,uniform,ball_tree,50,4.5,euclidean,2322.4500251116087
6,distance,ball_tree,70,1.0,l2,2059.930363024524
4,uniform,ball_tree,90,4.0,l2,2229.2103691406246
7,distance,kd_tree,10,2.5,manhattan,1848.3972050396528
9,uniform,ball_tree,80,2.5,l2,2476.3952048707565
6,distance,brute,60,4.5,manhattan,1795.5863513373456
8,uniform,kd_tree,60,2.0,l2,2432.0288054578987
9,distance,brute,70,1.5,euclidean,2251.1654642525027
2,uniform,kd_tree,90,1.5,manhattan,1802.978057942708
3,distance,brute,80,4.0,manhattan,1656.968879695727
4,distance,kd_tree,10,2.0,l2,1981.3163589735057
8,uniform,brute,90,4.5,l1,2102.574017784288
10,distance,kd_tree,40,2.5,l1,1966.708022463954
3,uniform,brute,90,1.5,l1,1823.248381799769
10,uniform,kd_tree,40,4.5,l1,2225.1774759375
2,distance,kd_tree,80,3.0,cityblock,1685.4646609561007
7,distance,kd_tree,80,4.0,cityblock,1870.4310828852329
3,uniform,kd_tree,50,2.5,manhattan,1794.8133527488433
2,uniform,ball_tree,100,1.0,manhattan,1768.6805753038188
3,uniform,ball_tree,40,2.0,l1,1793.3487778067138
3,distance,brute,100,2.5,l2,1839.725079442549
9,distance,brute,100,1.0,l1,1910.0890445415623
3,distance,brute,80,2.0,l1,1656.968879695727
4,distance,brute,80,3.0,l2,1993.731549343216
10,uniform,ball_tree,50,2.5,cityblock,2221.604000694444
10,distance,brute,10,3.0,cityblock,1951.812144152432
7,uniform,ball_tree,60,4.5,l1,2070.20012077133
1,distance,ball_tree,20,2.0,euclidean,1807.2712274305547
9,distance,kd_tree,90,1.0,l1,1921.755515296652
10,distance,kd_tree,30,3.0,l1,1956.4339113113824
8,distance,kd_tree,100,2.5,cityblock,1876.7372116495255
10,uniform,kd_tree,10,2.5,euclidean,2526.84137157986
9,distance,kd_tree,60,1.0,l1,1923.0347524108893
6,uniform,ball_tree,50,2.0,manhattan,2023.1643656973383
1,distance,ball_tree,80,3.0,l1,1770.3169246527764
10,distance,ball_tree,70,4.5,cityblock,1964.962079186973
4,distance,ball_tree,20,3.0,l2,1983.1693085546108
10,distance,ball_tree,40,2.5,cityblock,1964.962079186973
8,uniform,ball_tree,90,4.0,l2,2432.639292274304
7,distance,ball_tree,60,3.0,l1,1848.5045811895484
4,uniform,kd_tree,20,3.0,euclidean,2227.3823209201373
8,distance,ball_tree,100,4.0,l2,2197.93717696994
9,uniform,ball_tree,60,3.0,manhattan,2156.9729391396622
6,distance,brute,60,2.0,cityblock,1795.5863513373456
6,distance,brute,40,3.5,l2,2077.981875623396
3,distance,ball_tree,70,2.0,l2,1823.518080010925
2,uniform,brute,60,1.5,l2,1945.263195442708
5,distance,ball_tree,40,1.5,l2,2020.930750445818
4,uniform,kd_tree,100,3.5,cityblock,1962.0898469184024
1,distance,kd_tree,100,1.5,euclidean,1803.4751172743045
1,uniform,brute,40,3.5,l1,1791.0471459201376
10,distance,brute,60,1.0,l2,2280.158966955157
3,distance,brute,90,2.5,manhattan,1656.968879695727
5,distance,kd_tree,30,3.0,euclidean,2024.8668031083705
7,distance,brute,60,4.5,cityblock,1841.7103345580024
4,uniform,ball_tree,20,1.5,manhattan,1870.7606221571184
4,uniform,brute,80,1.0,cityblock,1929.923539778647
3,distance,brute,30,2.5,l1,1656.968879695727
9,distance,brute,40,4.5,euclidean,2251.1654642525027
2,distance,brute,10,3.5,l1,1701.5679999462625
9,uniform,brute,100,2.0,l1,2144.443284876544
3,distance,brute,20,4.0,cityblock,1656.968879695727
4,distance,brute,60,3.5,euclidean,1993.731549343216
5,uniform,kd_tree,10,3.0,euclidean,2239.024763333332
6,uniform,brute,10,4.5,l2,2270.693337427662
8,uniform,kd_tree,40,2.0,l1,2135.769260145398
2,distance,ball_tree,70,2.5,euclidean,1760.7120913859694
8,uniform,ball_tree,100,3.0,manhattan,2117.137365125868
7,uniform,brute,100,4.5,l1,2067.0389020585308
5,uniform,kd_tree,20,4.5,l1,1977.4856436805555
4,uniform,ball_tree,100,2.5,l2,2229.2103691406246
1,distance,ball_tree,20,1.0,euclidean,1807.2712274305547
10,uniform,ball_tree,70,2.5,l1,2221.604000694444
2,distance,ball_tree,80,1.5,l1,1656.163301002397
6,uniform,kd_tree,60,2.0,manhattan,2016.47660931713
6,uniform,ball_tree,90,3.5,cityblock,2027.9504441261572
10,distance,brute,50,2.0,euclidean,2280.158966955157
9,uniform,kd_tree,10,2.5,l2,2491.5949761766974
1,uniform,brute,30,4.5,manhattan,1791.0471459201376
3,distance,kd_tree,90,2.5,euclidean,1842.469849981785
8,uniform,ball_tree,70,4.5,l1,2132.931632866752
9,distance,brute,30,4.0,euclidean,2251.1654642525027
4,uniform,brute,60,3.0,cityblock,1929.923539778647
3,distance,kd_tree,90,2.0,l1,1683.3558692555373
1,distance,kd_tree,60,3.5,euclidean,1806.8446602430545
9,uniform,kd_tree,50,2.0,l2,2482.1680250289355
3,uniform,ball_tree,10,4.5,cityblock,1832.8816089699076
5,uniform,kd_tree,80,3.5,l1,1999.090769618056
10,uniform,kd_tree,20,4.5,cityblock,2210.693536631944
2,uniform,kd_tree,100,3.0,manhattan,1802.978057942708
9,uniform,brute,50,4.5,l1,2144.443284876544
7,distance,ball_tree,80,2.0,l2,2135.8919789933834
10,distance,ball_tree,100,3.0,l1,1946.0354861927472
1,uniform,brute,20,2.5,euclidean,1836.4038850694428
5,distance,brute,10,4.5,manhattan,1745.6377063296725
7,distance,ball_tree,90,4.0,cityblock,1868.378924289117
4,uniform,brute,50,1.0,euclidean,2239.7651857638884
1,uniform,brute,30,3.5,euclidean,1836.4038850694428
10,uniform,brute,60,3.5,euclidean,2520.199073142361
9,distance,kd_tree,100,3.5,manhattan,1921.755515296652
8,uniform,kd_tree,10,4.0,euclidean,2432.0709303927943
7,uniform,kd_tree,40,3.0,l2,2331.20690559276
1,distance,ball_tree,40,4.0,l2,1798.3941256944431
9,uniform,ball_tree,80,3.5,l1,2155.0005701871155
5,distance,ball_tree,10,3.5,l1,1778.0420778710054
3,uniform,brute,10,2.5,cityblock,1823.248381799769
1,uniform,kd_tree,10,1.5,l1,1743.3374356770828
3,distance,ball_tree,50,1.0,l1,1644.47821430591
3,distance,kd_tree,100,1.0,l1,1683.3558692555373
3,distance,kd_tree,90,3.0,l1,1683.3558692555373
9,uniform,kd_tree,30,3.0,l2,2475.4370201003094
7,uniform,kd_tree,20,4.5,manhattan,2070.75733843006
4,uniform,ball_tree,80,2.5,l1,1961.2593004774303
7,uniform,brute,50,2.0,manhattan,2067.0389020585308
3,uniform,brute,100,2.5,manhattan,1823.248381799769
10,distance,ball_tree,100,2.0,euclidean,2269.0962053418443
7,uniform,brute,30,3.5,l1,2067.0389020585308
3,distance,brute,40,1.0,l1,1656.968879695727
1,uniform,kd_tree,90,4.0,l2,1803.4751172743045
1,distance,brute,50,2.5,cityblock,1791.0471459201376
8,uniform,ball_tree,20,2.0,l2,2436.1547285915794
8,uniform,ball_tree,20,3.0,l2,2436.1547285915794
9,uniform,kd_tree,40,4.5,euclidean,2482.1680250289355
6,uniform,ball_tree,80,3.0,euclidean,2222.973464525464
3,distance,brute,100,2.5,cityblock,1656.968879695727
5,distance,brute,100,4.0,l1,1745.6377063296725
4,uniform,ball_tree,40,1.5,l1,1924.4711391059027
10,distance,brute,20,4.5,l2,2280.158966955157
9,distance,kd_tree,80,1.5,manhattan,1921.755515296652
