criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
poisson,random,5,73,0.6,1,0.30000000000000004,2195.0920673410815
squared_error,best,37,1,0.9999999999999999,10,0.9999999999999999,293.9492540879667
absolute_error,random,10,1,0.0,10,0.9999999999999999,292.433717472119
squared_error,best,100,73,0.1,10,0.30000000000000004,605.7706768948514
poisson,random,5,5,0.5,10,0.7999999999999999,391.7411315728345
squared_error,random,100,100,0.2,10,0.1,1944.6122178226758
absolute_error,random,100,73,0.2,1,0.0,1906.7561524163568
squared_error,random,73,10,0.2,100,0.7999999999999999,372.62490695148637
friedman_mse,best,2,73,0.2,100,0.7,605.7706768948514
absolute_error,random,37,5,0.7999999999999999,1,0.1,1703.9406040892188
squared_error,best,5,37,0.30000000000000004,10000,0.8999999999999999,375.41923983198467
absolute_error,random,2,1,0.5,1,0.1,1703.9406040892188
poisson,random,5,2,0.2,1,0.7,1845.5527276771957
absolute_error,best,10,10,0.1,1,0.5,1255.006691449814
absolute_error,random,100,37,0.7,10,0.1,577.0268773234202
absolute_error,best,5,5,0.5,10000,0.0,257.5741821561339
absolute_error,best,37,2,0.30000000000000004,10,0.4,291.02690520446106
absolute_error,best,73,100,0.7,10,0.9999999999999999,670.2815427509292
poisson,best,5,100,0.7999999999999999,1,0.7,1339.4588032548336
absolute_error,random,100,37,0.7999999999999999,1,0.2,1703.9406040892188
friedman_mse,best,37,2,0.4,100,0.30000000000000004,293.8429028398633
poisson,best,37,1,0.5,10000,0.7,380.2465884293082
squared_error,best,2,100,0.7999999999999999,10000,0.0,621.035763408322
absolute_error,random,5,5,0.0,1,0.0,1703.9406040892188
absolute_error,best,2,37,0.7999999999999999,1000,0.2,339.044814126394
squared_error,best,73,10,0.4,100,0.8999999999999999,340.1385074117923
squared_error,best,37,10,0.5,1,0.4,1339.4588032548336
squared_error,random,100,37,0.7,10,0.4,601.8332018628807
squared_error,best,10,37,0.30000000000000004,100,0.5,375.41923983198467
squared_error,random,73,1,0.6,100,0.7,372.62490695148637
poisson,best,73,100,0.7999999999999999,1000,0.5,633.4409871308835
friedman_mse,best,2,100,0.0,10000,0.7999999999999999,621.035763408322
squared_error,best,5,1,0.4,100,0.7999999999999999,252.78912794299868
poisson,random,73,73,0.1,10000,0.7,1717.8047784528624
squared_error,random,37,73,0.1,10000,0.6,1719.788839536799
poisson,best,5,100,0.4,10000,0.2,633.4409871308835
poisson,best,10,100,0.1,10000,0.8999999999999999,632.7032287238026
friedman_mse,random,5,37,0.7,1000,0.7,640.7141583346229
absolute_error,best,2,37,0.4,10000,0.7,339.044814126394
squared_error,random,73,37,0.8999999999999999,10000,0.30000000000000004,640.7141583346229
poisson,random,73,1,0.2,100,0.8999999999999999,366.5338396035557
squared_error,best,100,100,0.30000000000000004,10000,0.5,621.035763408322
poisson,random,73,73,0.30000000000000004,1,0.7,2195.0920673410815
poisson,random,100,10,0.2,10000,0.2,441.8873880975316
absolute_error,random,73,1,0.0,10,0.4,356.06885687732336
squared_error,random,73,5,0.6,1000,0.7999999999999999,372.62490695148637
squared_error,best,2,5,0.2,1,0.1,1339.4588032548336
