N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
1,distance,brute,40,2.5,l2,458.78278810408926
2,uniform,brute,70,3.0,manhattan,355.018810408922
10,distance,brute,70,2.0,manhattan,353.51921084236164
4,uniform,kd_tree,80,1.0,cityblock,336.26203531598503
4,uniform,kd_tree,70,1.5,l2,345.435971189591
9,distance,kd_tree,20,3.5,l1,368.3970754018756
3,distance,ball_tree,10,4.5,cityblock,351.38199070631964
1,uniform,ball_tree,10,3.0,cityblock,464.5469330855019
2,distance,kd_tree,30,4.0,l1,404.4656102850062
8,distance,ball_tree,50,2.0,cityblock,357.72215694275434
1,distance,brute,20,2.0,l2,458.78278810408926
7,uniform,brute,60,2.5,manhattan,359.1915002655337
8,distance,kd_tree,20,2.5,manhattan,360.5051484551915
9,distance,ball_tree,10,3.0,l2,385.51656780943074
3,uniform,brute,30,1.5,manhattan,343.66601610904576
8,distance,ball_tree,90,1.5,cityblock,361.6616765631889
9,uniform,kd_tree,10,2.5,l1,393.51486575795127
6,distance,ball_tree,10,3.5,l1,337.2810613917
3,uniform,ball_tree,20,3.0,l2,379.0463506815365
5,distance,brute,20,2.0,l1,337.66741171003747
4,distance,brute,60,2.0,l1,343.24382311028484
3,distance,kd_tree,50,3.5,euclidean,368.2464271096367
4,uniform,kd_tree,90,3.0,l2,345.435971189591
5,uniform,ball_tree,80,1.5,euclidean,348.3541338289964
3,distance,kd_tree,40,3.0,l2,368.2464271096367
2,distance,brute,70,3.0,l2,354.9291731488626
10,uniform,ball_tree,10,2.5,l1,393.5990892193307
7,uniform,brute,90,4.0,l1,359.1915002655337
5,uniform,kd_tree,90,3.5,cityblock,348.1104014869889
2,uniform,kd_tree,20,3.5,euclidean,403.8810873605949
9,uniform,ball_tree,100,1.5,cityblock,381.29110285006186
6,uniform,ball_tree,30,4.0,l1,355.9651425030979
3,distance,brute,20,1.0,l2,341.5872200874123
4,uniform,kd_tree,10,4.5,cityblock,338.76845260223047
2,uniform,brute,70,1.0,manhattan,355.018810408922
6,uniform,ball_tree,70,3.5,l2,366.4019919454772
7,distance,ball_tree,60,2.0,cityblock,350.879871881093
10,uniform,kd_tree,10,2.0,euclidean,406.4389237918215
5,distance,kd_tree,30,4.5,l2,353.6123857990325
7,uniform,kd_tree,40,1.5,l1,375.3711311736587
5,uniform,brute,50,4.0,l1,348.86965427509307
4,uniform,ball_tree,90,3.0,l2,345.6471143122676
7,distance,brute,70,2.5,l2,373.6682558266071
7,uniform,ball_tree,80,3.5,manhattan,358.5634121083377
5,uniform,ball_tree,50,1.0,cityblock,355.6778698884757
6,uniform,brute,80,1.5,euclidean,377.2082496902109
4,uniform,ball_tree,70,1.0,l2,345.6471143122676
5,distance,ball_tree,30,2.0,euclidean,353.8846663685907
2,uniform,brute,20,2.0,cityblock,355.018810408922
1,uniform,kd_tree,70,2.5,manhattan,442.82332713754647
10,distance,brute,50,4.5,euclidean,389.1124695890068
8,distance,kd_tree,80,3.5,l1,361.6252518742626
5,distance,ball_tree,100,4.0,cityblock,342.0405155115951
3,uniform,brute,30,1.5,l2,342.01026641883504
8,distance,ball_tree,20,2.5,manhattan,362.2364533887179
5,distance,brute,60,4.0,l1,337.66741171003747
5,uniform,ball_tree,60,2.5,euclidean,365.18223420074366
7,uniform,kd_tree,40,2.0,l2,388.2163037705786
3,distance,brute,30,1.0,euclidean,341.5872200874123
8,uniform,ball_tree,90,4.0,manhattan,386.3724628252788
1,distance,ball_tree,40,2.0,euclidean,440.7211152416357
7,uniform,ball_tree,40,1.5,l2,385.3468481147105
6,distance,kd_tree,100,1.0,l2,357.8242450152097
8,uniform,brute,30,2.5,manhattan,367.6837964684015
3,uniform,ball_tree,10,3.5,cityblock,350.5158178438661
10,uniform,ball_tree,20,2.5,euclidean,412.3202397769517
5,distance,brute,80,4.5,euclidean,351.3554252298326
1,distance,ball_tree,60,3.0,l1,460.6111895910781
4,distance,ball_tree,30,2.5,manhattan,348.15370255797484
7,distance,kd_tree,30,4.5,euclidean,372.3311858964941
2,uniform,ball_tree,20,3.0,l2,401.0983457249071
4,uniform,kd_tree,50,1.0,manhattan,347.44840613382894
6,uniform,kd_tree,90,2.5,euclidean,369.2431195786865
5,distance,brute,100,2.0,euclidean,351.3554252298326
9,distance,kd_tree,70,2.0,cityblock,361.90270615389016
3,distance,kd_tree,60,2.0,l1,364.2521254646839
9,distance,brute,60,1.0,l1,352.5877222517571
4,uniform,kd_tree,60,3.0,l1,347.44840613382894
1,distance,brute,20,1.0,l2,458.78278810408926
2,uniform,brute,40,2.0,cityblock,355.018810408922
10,uniform,ball_tree,90,1.0,l1,390.8044033457247
7,uniform,ball_tree,20,2.5,manhattan,376.5116277217204
5,distance,kd_tree,60,1.0,l2,353.49343204711795
